# rubi-harness, symplex 0.23.0: 215 files, 72254 entries, 12 jobs, timeout 10 s, check timeout 30 s, wall 14 s
path	total	unsupported	verified	real_verified	unevaluated	wrong	undecided	timeout	panic	seconds
3 Logarithms/3.4 u (a+b log(c (d+e x^m)^n))^p.mac	641	0	1	0	640	0	0	0	0	0.6
3 Logarithms/3.5 Logarithm functions.mac	314	0	36	4	274	0	0	0	0	0.8
4 Trig functions/4.1 Sine/4.1.0 (a sin)^m (b trg)^n.mac	538	0	29	0	509	0	0	0	0	1.4
4 Trig functions/4.1 Sine/4.1.1.1 (a+b sin)^n.mac	72	0	0	0	72	0	0	0	0	0.0
4 Trig functions/4.1 Sine/4.1.1.2 (g cos)^p (a+b sin)^m.mac	653	0	31	0	622	0	0	0	0	2.3
4 Trig functions/4.1 Sine/4.1.1.3 (g tan)^p (a+b sin)^m.mac	208	0	0	0	208	0	0	0	0	0.8
4 Trig functions/4.1 Sine/4.1.10 (c+d x)^m (a+b sin)^n.mac	348	0	5	0	343	0	0	0	0	1.2
4 Trig functions/4.1 Sine/4.1.11 (e x)^m (a+b x^n)^p sin.mac	113	0	12	0	101	0	0	0	0	0.3
4 Trig functions/4.1 Sine/4.1.12 (e x)^m (a+b sin(c+d x^n))^p.mac	357	0	7	0	350	0	0	0	0	0.8
4 Trig functions/4.1 Sine/4.1.13 (d+e x)^m sin(a+b x+c x^2)^n.mac	36	0	0	0	36	0	0	0	0	0.1
4 Trig functions/4.1 Sine/4.1.2.1 (a+b sin)^m (c+d sin)^n.mac	837	0	6	0	831	0	0	0	0	3.1
4 Trig functions/4.1 Sine/4.1.2.2 (g cos)^p (a+b sin)^m (c+d sin)^n.mac	1563	0	1	0	1562	0	0	0	0	7.4
4 Trig functions/4.1 Sine/4.1.2.3 (g sin)^p (a+b sin)^m (c+d sin)^n.mac	51	0	0	0	51	0	0	0	0	0.3
4 Trig functions/4.1 Sine/4.1.3.1 (a+b sin)^m (c+d sin)^n (A+B sin).mac	358	0	0	0	358	0	0	0	0	2.2
4 Trig functions/4.1 Sine/4.1.4.1 (a+b sin)^m (A+B sin+C sin^2).mac	19	0	1	0	18	0	0	0	0	0.1
4 Trig functions/4.1 Sine/4.1.4.2 (a+b sin)^m (c+d sin)^n (A+B sin+C sin^2).mac	34	0	0	0	34	0	0	0	0	0.2
4 Trig functions/4.1 Sine/4.1.7 (d trig)^m (a+b (c sin)^n)^p.mac	594	0	10	0	584	0	0	0	0	3.0
4 Trig functions/4.1 Sine/4.1.8 (a+b sin)^m (c+d trig)^n.mac	9	0	0	0	9	0	0	0	0	0.0
4 Trig functions/4.1 Sine/4.1.9 trig^m (a+b sin^n+c sin^(2 n))^p.mac	19	0	5	0	14	0	0	0	0	0.1
4 Trig functions/4.2 Cosine/4.2.0 (a cos)^m (b trg)^n.mac	294	0	1	0	293	0	0	0	0	0.7
4 Trig functions/4.2 Cosine/4.2.1.1 (a+b cos)^n.mac	62	0	0	0	62	0	0	0	0	0.0
4 Trig functions/4.2 Cosine/4.2.1.2 (g sin)^p (a+b cos)^m.mac	88	0	18	0	70	0	0	0	0	0.4
4 Trig functions/4.2 Cosine/4.2.1.3 (g tan)^p (a+b cos)^m.mac	22	0	0	0	22	0	0	0	0	0.1
4 Trig functions/4.2 Cosine/4.2.10 (c+d x)^m (a+b cos)^n.mac	189	0	2	0	187	0	0	0	0	0.3
4 Trig functions/4.2 Cosine/4.2.12 (e x)^m (a+b cos(c+d x^n))^p.mac	99	0	9	0	90	0	0	0	0	0.2
4 Trig functions/4.2 Cosine/4.2.13 (d+e x)^m cos(a+b x+c x^2)^n.mac	34	0	0	0	34	0	0	0	0	0.1
4 Trig functions/4.2 Cosine/4.2.2.1 (a+b cos)^m (c+d cos)^n.mac	932	0	2	0	930	0	0	0	0	3.1
4 Trig functions/4.2 Cosine/4.2.2.2 (g sin)^p (a+b cos)^m (c+d cos)^n.mac	4	0	0	0	4	0	0	0	0	0.0
4 Trig functions/4.2 Cosine/4.2.2.3 (g cos)^p (a+b cos)^m (c+d cos)^n.mac	1	0	0	0	1	0	0	0	0	0.0
4 Trig functions/4.2 Cosine/4.2.3.1 (a+b cos)^m (c+d cos)^n (A+B cos).mac	644	0	0	0	644	0	0	0	0	3.2
